"trx_id","sk_actor","actor_name","sk_customer","customer_name","customer_address","customer_city","customer_country","sk_film","film_title","release_year","film_rating","film_language","film_genre","film_description","sk_rental","staff_fullname","sk_waktu","tahun","kuartal","nama_bulan","tanggal","nama_hari","rental_date","return_date","replacement_cost","rental_duration","rental_rate","amount"
1,152,Ben Harris,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,611,Werewolf Lola,2006,Kids,English             ,Classics,A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery,1183,Jon Stephens,100550015,2010.0,Q1,januari,2010-01-15 00:00:00.000,Jumat,2005-06-15 00:00:00.000,2005-06-23 00:00:00.000,17.99,7,4.99,5.99
2,186,Julia Zellweger,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,228,Wyoming Storm,2006,Teens,English             ,Classics,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,1420,Jon Stephens,100550015,2010.0,Q1,januari,2010-01-15 00:00:00.000,Jumat,2005-06-15 00:00:00.000,2005-06-19 00:00:00.000,16.99,4,0.99,0.99
3,31,Sissy Sobieski,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,308,Wisdom Worker,2006,Mature,English             ,Comedy,A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station,1474,Mike Hillyer,100550015,2010.0,Q1,januari,2010-01-15 00:00:00.000,Jumat,2005-06-15 00:00:00.000,2005-06-25 00:00:00.000,13.99,3,2.99,9.99
4,199,Julia Fawcett,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,159,Wait Cider,2006,Teens,English             ,Comedy,A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse,1723,Mike Hillyer,100550016,2010.0,Q1,januari,2010-01-16 00:00:00.000,Sabtu,2005-06-16 00:00:00.000,2005-06-17 00:00:00.000,12.99,5,4.99,4.99
5,193,Burt Temple,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,44,Wars Pluto,2006,Kids,English             ,Sci-Fi,A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert,2305,Jon Stephens,100550018,2010.0,Q1,januari,2010-01-18 00:00:00.000,Senin,2005-06-18 00:00:00.000,2005-06-22 00:00:00.000,21.99,5,4.99,4.99
6,153,Minnie Kilmer,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,766,Worker Tarzan,2006,Mature,English             ,Drama,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,2360,Mike Hillyer,100550018,2010.0,Q1,januari,2010-01-18 00:00:00.000,Senin,2005-06-18 00:00:00.000,2005-06-19 00:00:00.000,25.99,5,0.99,0.99
7,198,Mary Keitel,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,997,Youth Kick,2006,Adults Only,English             ,Music,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,3281,Mike Hillyer,100550021,2010.0,Q1,januari,2010-01-21 00:00:00.000,Kamis,2005-06-21 00:00:00.000,2005-06-28 00:00:00.000,14.99,4,0.99,3.99
8,123,Julianne Dench,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,3,Worker Tarzan,2006,Mature,English             ,Documentary,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,10432,Mike Hillyer,100650001,2012.0,Q1,januari,2012-01-01 00:00:00.000,Minggu,2005-08-01 00:00:00.000,2005-08-10 00:00:00.000,18.99,7,2.99,4.99
9,193,Burt Temple,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,709,Wars Pluto,2006,Kids,English             ,Drama,A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert,11294,Jon Stephens,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-10 00:00:00.000,19.99,7,2.99,3.99
10,189,Cuba Birch,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,315,Victory Academy,2006,Teens,English             ,Family,A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert,11362,Mike Hillyer,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-04 00:00:00.000,10.99,4,0.99,0.99
